AWSFileName	AWSFolderName
Northern-Rivers_F_M50451	NSW_Lismore
Northern-Rivers_F_M50467	NSW_Lismore
Lismore_F_M50510	NSW_Lismore
Northern-Rivers_M_M50511	NSW_Lismore
Northern-Rivers_F_M50517	NSW_Lismore
Lismore_M_M50535	NSW_Lismore
Campbelltown_M_C2K2	NSW_Liverpool
Campbelltown_F_C2K4	NSW_Liverpool
Campbelltown_M_C3K1	NSW_Liverpool
Campbelltown_F_C3K2	NSW_Liverpool
Campbelltown_M_C3K3	NSW_Liverpool
Pilliga_M_M47976	NSW_Narrabri
Narrandera_M_45930	NSW_Narrandera
Narrandra_F_N1	NSW_Narrandera
Narrandra_M_N11	NSW_Narrandera
Narrandra_F_N12	NSW_Narrandera
Narrandra_F_N13	NSW_Narrandera
Narrandra_F_N14	NSW_Narrandera
Narrandra_M_N15	NSW_Narrandera
Narrandra_M_N16	NSW_Narrandera
Narrandra_F_N17	NSW_Narrandera
Narrandra_F_N18	NSW_Narrandera
Narrandra_F_N2	NSW_Narrandera
Narrandra_M_N3	NSW_Narrandera
Narrandra_F_N5	NSW_Narrandera
Narrandra_M_N6	NSW_Narrandera
Narrandra_M_N7	NSW_Narrandera
Narrandra_M_N8	NSW_Narrandera
Narrandra_M_N9	NSW_Narrandera
North_Burnett_F_80750	QLD_North_Burnett
Blue-Mountains_U_7041191	NSW_Greater_Blue_Mountains
Blue-Mountains_M_7041193	NSW_Greater_Blue_Mountains
Blue-Mountains_M_7041194	NSW_Greater_Blue_Mountains
Blue-Mountains_F_7041195	NSW_Greater_Blue_Mountains
Blue-Mountains_F_7041197	NSW_Greater_Blue_Mountains
Blue-Mountains_M_7041198	NSW_Greater_Blue_Mountains
Blue-Mountains_M_7041200	NSW_Greater_Blue_Mountains
Blue-Mountains_M_7041492	NSW_Greater_Blue_Mountains
Blue-Mountains_F_7041500	NSW_Greater_Blue_Mountains
Port-Macquarie_M_81900	NSW_Port_Macquarie
Port-Macquarie_M_81913	NSW_Port_Macquarie
Port-Macquarie_F_81925	NSW_Port_Macquarie
Port-Macquarie_F_81926	NSW_Port_Macquarie
Port-Macquarie_F_81927	NSW_Port_Macquarie
Port_Macquarie_F_Emma	NSW_Port_Macquarie
Port-Macquarie_M_81967	NSW_Port_Macquarie
Port_Macquarie_M_Callum	NSW_Port_Macquarie
Port-Macquarie_F_81996	NSW_Port_Macquarie
Port_Macquarie_M_50047	NSW_Port_Macquarie
Port_Macquarie_F_50048	NSW_Port_Macquarie
Port_Macquarie_M_M50237	NSW_Port_Macquarie
Port_Macquarie_F_M50239	NSW_Port_Macquarie
PTS_F_SES-Maree	NSW_Port_Stephens
PTS_F_Gilchrist	NSW_Port_Stephens
PTS_M_Solstice	NSW_Port_Stephens
PTS_F_Beach-RS	NSW_Port_Stephens
PTS_F_MidnightR	NSW_Port_Stephens
PTS_F_Joanie	NSW_Port_Stephens
PTS_M_Galloping	NSW_Port_Stephens
PTS_F_Eila	NSW_Port_Stephens
PTS_M_Tai	NSW_Port_Stephens
PTS_M_Howie	NSW_Port_Stephens
Richmond_Valley_F_M49226_001	NSW_Richmond_Valley
Broadwater_M_50382	NSW_Richmond_Valley
Broadwater_M_M50338	NSW_Richmond_Valley
Northern-Rivers_F_M50347	NSW_Richmond_Valley
Broadwater_F_M50383_001	NSW_Richmond_Valley
Broadwater_M_M50395_001	NSW_Richmond_Valley
Broadwater_M_50508	NSW_Richmond_Valley
Broadwater_F_M50514	NSW_Richmond_Valley
Monaro_M_Matt	NSW_Monaro
Monaro_M_Bear	NSW_Monaro
Monaro_M_Malu	NSW_Monaro
Monaro_F_Tahlia	NSW_Monaro
Monaro_M_Hamish	NSW_Monaro
Monaro_M_Tallow	NSW_Monaro
Monaro_F_Madona	NSW_Monaro
Monaro_M_Kenny	NSW_Monaro
Monaro_F_Sage	NSW_Monaro
Monaro_F_CS	NSW_Monaro
Monaro_M_Xavier	NSW_Monaro
Monaro_M_Drew	NSW_Monaro
Monaro_F_Annie	NSW_Monaro
Monaro_F_Bron	NSW_Monaro
Monaro_F_Alex	NSW_Monaro
Monaro_F_Mia	NSW_Monaro
Monaro_F_Brandy	NSW_Monaro
Monaro_M_Jett	NSW_Monaro
Monaro_M_Evan	NSW_Monaro
Monaro_M_Murray	NSW_Monaro
SWSyd_F_M48896	NSW_Sutherland
Tenterfield_M_61949	NSW_Tenterfield
Tweed_Heads_M_53390	NSW_Tweed_Heads
Tweed_Heads_M_57043	NSW_Tweed_Heads
Tweed_Heads_F_M50445	NSW_Tweed_Heads
Pilliga_M_M47035	NSW_Warrumbungle
Pilliga_F_M47418	NSW_Warrumbungle
Pilliga_M_M47420	NSW_Warrumbungle
STHD_M_Walter	NSW_Wingecaribee
STHD_F_Hapi	NSW_Wingecaribee
STHD_M_Jimmy-B	NSW_Wingecaribee
STHD_F_Beyonce	NSW_Wingecaribee
STHD_F_Annie-L	NSW_Wingecaribee
STHD_F_Bunzi	NSW_Wingecaribee
STHD_M_Chaac	NSW_Wingecaribee
STHD_F_Stevie-N	NSW_Wingecaribee
STHD_F_Yara	NSW_Wollondilly
STHD_M_Rhaegar	NSW_Wollondilly
STHD_M_Qyburn	NSW_Wollondilly
STHD_M_Varys	NSW_Wollondilly
STHD_F_Brienne	NSW_Wollondilly
STHD_F_Liv-NJ	NSW_Wollondilly
STHD_F_Falia-F	NSW_Wollondilly
STHD_F_Arya	NSW_Wollondilly
STHD_F_Daenery	NSW_Wollondilly
STHD_M_Gendry	NSW_Wollondilly
STHD_M_Clegane	NSW_Wollondilly
STHD_M_St-james	NSW_Wollondilly
Fraser_Coast_F_51032	QLD_Fraser_Coast
Fraser_Coast_U_57909	QLD_Fraser_Coast
Fraser_Coast_M_61304	QLD_Fraser_Coast
Fraser_Coast_M_61459	QLD_Fraser_Coast
Fraser_Coast_F_72461	QLD_Fraser_Coast
Fraser-Coast_M_72855	QLD_Fraser_Coast
Fraser_Coast_M_77266	QLD_Fraser_Coast
